ISO	GDP.2011	pop.2010	Country.name	NOC	F.2012	M.2012	NOC SIZE	NOC.Size.Per.100K.pop	Gold	Silver	Bronze	Total	Bronze.Per.100K.pop	Silver.Per.100K.pop	Gold.Per.100K.pop	Total.Per.100K.pop	Bronze.Per.1BN.GDP	Silver.Per.1BN.GDP	Gold.Per.1BN.GDP	Total.Per.1BN.GDP	Bronze.Per.Athlete	Silver.Per.Athlete	Gold.Per.Athlete	Total.Per.Athlete	Bronze.pop	Silver.pop	Gold.pop	Total.pop	Bronze.GDP	Silver.GDP	Gold.GDP	Total.GDP	Bronze.Athlete	Silver.Athlete	Gold.Athlete	Total.Athlete	GDP rank score	Population rank score	Athlete rank score	Official medal ranking	GDP rank	Pop rank	Team size rank		Total medal score (gold=3, silver =2, bronze=1)
NLD	836257000000	16616000	Netherlands	NED	84	98	182	1.0953298025999	3	3	4	10	0.024073182474723	0.018054886856042	0.018054886856042	0.060182956186808	0.004783218556018	0.003587413917014	0.003587413917014	0.011958046390045	0.021978021978022	0.016483516483516	0.016483516483516	0.054945054945055	4.2	3.6	1.9	9.7	0.75	0.73	0.32	1.8	2.77	2.47	2.88	8.12	3.17	17.1	16.35	12	39	17	26		19
NZL	141406000000	4368000	New Zealand	NZL	93	103	196	4.48717948717949	3	1	4	8	0.091575091575092	0.022893772893773	0.068681318681319	0.183150183150183	0.028287342828451	0.007071835707113	0.021215507121339	0.056574685656903	0.020408163265306	0.005102040816327	0.01530612244898	0.040816326530612	15.9	4.6	7.4	27.9	4.44	1.44	1.88	7.76	2.57	0.77	2.67	6.01	12.96	47.3	12.12	19	19	3	37		15
NIC	7297481501	5789000	Nicaragua	NCA	3	3	6	0.103644843669027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
NER	6016960988	15512000	Niger	NIG	2	4	6	0.038679731820526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
NGA	235923000000	158423000	Nigeria	NGR	23	30	53	0.033454738264015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
PRK	40000000000	24589122	North Korea	PRK	40	15	55	0.223676144272252	4	0	1	5	0.004066838986768	0	0.016267355947073	0.020334194933841	0.025	0	0.1	0.125	0.018181818181818	0	0.072727272727273	0.090909090909091	0.7	0	1.7	2.4	3.92	0	8.88	12.8	2.29	0	12.69	14.98	30.56	5.8	40.36	21	10	43	4		13
NOR	485803000000	4889000	Norway	NOR	32	33	65	1.32951523829004	0	1	1	2	0.020454080589078	0.020454080589078	0	0.040908161178155	0.002058447560019	0.002058447560019	0	0.004116895120038	0.015384615384615	0.015384615384615	0	0.030769230769231	3.6	4.1	0	7.7	0.32	0.42	0	0.74	1.94	2.31	0	4.25	1.16	11.8	6.56	45	54	27	57		3
OMN	71781535039	2783000	Oman	OMA	1	3	4	0.143729787998563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
PAK	211092000000	173593000	Pakistan	PAK	2	21	23	0.013249382175549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
PLW	179912815.9	20472	Palau	PLW	3	2	5	24.4236029699101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
